Step|OZCN|OpCode|          Bin           |
----|----|------|------------------------|
0000_0000_000000 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_000001 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_000010 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_000011 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_000100 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_000101 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_000110 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_000111 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_001000 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_001001 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_001010 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_001011 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_001100 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_001101 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_001110 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_001111 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_010000 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_010001 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_010010 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_010011 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_010100 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_010101 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_010110 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_010111 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_011000 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_011001 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_011010 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_011011 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_011100 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_011101 000000000000000000010100   PC_OUT_16  MAR_IN_16
0000_0000_011110 000000000000000000010100   PC_OUT_16  MAR_IN_16
