"Index","Quantité","Référence","Référence fabricant","Description","Référence client","Disponible","Articles différés","Prix unitaire","Prix calculé EUR"
"1","4","LM555CNNS/NOPB-ND","LM555CN/NOPB","IC OSC SINGLE TIMER 100KHZ 8-DIP","","4","0","1,21000","4,84"
"2","4","296-2081-5-ND","CD74HCT00E","IC GATE NAND 4CH 2-INP 14DIP","","4","0","0,56000","2,24"
"3","1","296-2082-5-ND","CD74HCT02E","IC GATE NOR 4CH 2-INP 14DIP","","1","0","0,56000","0,56"
"4","4","296-2083-5-ND","CD74HCT04E","IC INVERTER 6CH 1-INP 14DIP","","4","0","0,66000","2,64"
"5","3","296-2084-5-ND","CD74HCT08E","IC GATE AND 4CH 2-INP 14DIP","","3","0","0,72000","2,16"
"6","1","296-2112-5-ND","CD74HCT32E","IC GATE OR 4CH 2-INP 14DIP","","1","0","0,72000","0,72"
"7","3","296-2133-5-ND","CD74HCT86E","IC GATE XOR 4CH 2-INP 14DIP","","3","0","0,80000","2,40"
"8","1","296-33126-5-ND","CD74HCT107E","IC FF JK TYPE DUAL 1BIT 14DIP","","1","0","0,83000","0,83"
"9","1","296-2092-5-ND","CD74HCT139E","IC DECODER/DEMUX 1X2:4 16DIP","","1","0","0,80000","0,80"
"10","6","296-2095-5-ND","CD74HCT157E","IC MULTIPLEXER 4 X 2:1 16DIP","","6","0","0,80000","4,80"
"11","5","296-2096-5-ND","CD74HCT161E","IC BINARY COUNTER 4-BIT 16DIP","","5","0","0,91000","4,55"
"12","15","296-33135-5-ND","CD74HCT173E","IC FF D-TYPE SNGL 4BIT 16DIP","","15","0","0,66700","10,01"
"13","13","296-2105-5-ND","CD74HCT245E","IC TXRX NON-INVERT 5.5V 20DIP","","13","0","0,87000","11,31"
"14","1","296-2110-5-ND","CD74HCT273E","IC FF D-TYPE SNGL 8BIT 20DIP","","1","0","0,92000","0,92"
"15","2","296-33143-5-ND","CD74HCT283E","IC BIN FULL 4BIT ADD W/CAR 16DIP","","2","0","0,90000","1,80"
"16","1","AT28C64B-15PU-ND","AT28C64B-15PU","IC EEPROM 64KBIT PARALLEL 28DIP","","1","0","5,23000","5,23"
"17","3","AT28C256-15PU-ND","AT28C256-15PU","IC EEPROM 256KBIT PARALLEL 28DIP","","3","0","11,05000","33,15"
"18","1","1450-1165-5-ND","AS6C1008-55PIN","IC SRAM 1MBIT PARALLEL 32DIP","","1","0","5,78000","5,78"
"19","2","296-2097-5-ND","CD74HCT164E","IC 8-BIT SHIFT REGISTER HS 14DIP","","2","0","0,61000","1,22"
"20","1","399-ESK476M050AE3AA-ND","ESK476M050AE3AA","CAP ALUM 47UF 20% 50V RADIAL","","1","0","0,20000","0,20"
"21","1","1050-ABX00033-ND","ABX00033","ARDUINO NANO EVERY WITH HEADERS","","1","0","13,57000","13,57"
"22","4","TDSR1360-IK-ND","TDSR1360-IK","DISPLAY 7SEG 0.51"" SGL RED 10DIP","","4","0","1,90000","7,60"
"23","3","EG4499-ND","KAS1108E","SWITCH SLIDE DIP SPST 0.025A 24V","","3","0","1,14000","3,42"
"24","3","450-1567-ND","1825255-1","SWITCH SLIDE SPDT 300MA 125V","","3","0","1,09000","3,27"
"25","2","EG4371-ND","TL1105PF160Q","SWITCH TACTILE SPST-NO 0.05A 12V","","2","0","0,19000","0,38"
"26","1","56-K105K20X7RF53H5G-ND","K105K20X7RF53H5G","K 50V 1UF 10% X7R BULK GREEN AUT","","1","0","1,90000","1,90"
